/home/graham/Projects/GitTests/OpenField/TestSampleData/sampleVid.mp4
parse	hand	none	mouse
mouse	0.00075799937	0.36766914	0.63157284
mouse	0.00065572665	0.39773616	0.60160816
mouse	0.00074835925	0.39878273	0.6004689
mouse	0.0007475478	0.39560416	0.6036483
mouse	0.00076388137	0.39457774	0.6046584
mouse	0.0007709985	0.3552079	0.6440211
mouse	0.00077236403	0.36863226	0.6305954
mouse	0.00075510243	0.3662898	0.6329551
mouse	0.00077384047	0.36807764	0.6311486
mouse	0.0007908786	0.32518667	0.6740225
mouse	0.0007467185	0.30779174	0.6914615
mouse	0.0007560944	0.3289311	0.6703128
mouse	0.00081247557	0.3325372	0.66665035
mouse	0.00072035094	0.33420682	0.6650728
mouse	0.0006378328	0.36052823	0.63883394
mouse	0.00074680854	0.35417897	0.6450743
mouse	0.00073730526	0.37364542	0.62561727
mouse	0.00066655834	0.37738562	0.6219478
mouse	0.00076769426	0.3429156	0.6563167
mouse	0.0006548716	0.34709284	0.65225226
mouse	0.00074536586	0.366749	0.6325057
mouse	0.00071403274	0.36900452	0.6302814
mouse	0.0007167024	0.37424034	0.625043
mouse	0.0007121	0.33518282	0.6641051
mouse	0.00077457004	0.37870446	0.62052095
mouse	0.0007812022	0.36681566	0.63240314
mouse	0.00076151756	0.3715458	0.6276927
mouse	0.0006878368	0.3491552	0.650157
mouse	0.00075151026	0.31355762	0.6856908
mouse	0.00070857827	0.30522522	0.69406617
mouse	0.000719262	0.31086665	0.6884141
mouse	0.0006474588	0.33733597	0.6620166
mouse	0.0006476543	0.33159944	0.66775286
mouse	0.0006827261	0.34258035	0.65673697
mouse	0.0007074753	0.35098708	0.6483054
mouse	0.0006873328	0.34055364	0.658759
mouse	0.0007291634	0.3235482	0.6757227
mouse	0.0008047228	0.3140201	0.6851752
mouse	0.00065140624	0.36010313	0.63924545
mouse	0.0006381489	0.35057008	0.6487918
mouse	0.0006304235	0.3575679	0.6418017
mouse	0.0006792833	0.32027808	0.6790427
mouse	0.00063793827	0.32838857	0.6709735
mouse	0.0006320567	0.32066098	0.678707
mouse	0.00060419773	0.33745486	0.66194093
mouse	0.0006135396	0.33220258	0.6671839
mouse	0.00060638384	0.35144386	0.64794976
mouse	0.00058731093	0.40350938	0.59590334
mouse	0.00059860834	0.39907014	0.6003312
mouse	0.0006137409	0.40053892	0.5988473
mouse	0.00071252405	0.3211649	0.6781226
mouse	0.0006266593	0.35720098	0.6421724
mouse	0.00063667796	0.3577509	0.64161247
