/home/graham/Projects/GitTests/OpenField/TestSampleData/sampleVid.mp4
head	tail
159.0,104.0	190.0,233.0
159.0,104.0	190.0,233.0
160.0,106.5	189.0,233.0
159.0,105.0	190.0,233.0
161.0,106.0	188.0,233.0
191.0,234.0	168.0,167.5
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,234.0	168.0,168.0
191.0,235.0	168.0,168.5
191.0,234.0	168.0,168.0
191.0,234.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,234.0	168.0,168.5
191.0,235.0	168.0,168.0
191.0,235.0	168.5,167.5
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
157.0,106.5	190.0,233.0
191.0,235.0	167.5,168.0
191.0,235.0	167.5,168.0
191.0,235.0	167.5,168.0
191.0,233.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.5,167.5
191.0,235.0	168.5,168.5
191.0,235.0	168.5,167.5
191.0,235.0	168.5,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
190.0,234.0	168.0,167.5
190.0,234.5	168.0,167.5
190.0,234.5	168.0,167.5
191.0,233.0	168.0,168.0
190.0,234.0	168.0,167.5
191.0,233.0	168.0,168.0
191.0,234.0	167.5,168.0
191.0,233.0	168.0,168.0
190.0,234.5	168.0,167.5
159.0,104.0	190.0,233.0
159.0,104.0	190.0,233.0
159.0,105.0	190.0,233.0
190.5,235.0	168.0,167.5
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
190.0,234.5	168.0,167.5
191.0,235.0	168.5,168.0
191.0,235.0	168.5,167.5
191.0,235.0	168.5,167.5
191.0,233.0	168.0,168.0
191.0,234.0	168.0,168.0
191.0,234.0	168.0,168.0
191.0,234.0	168.0,168.0
191.0,234.0	168.0,168.0
190.5,235.0	168.0,167.5
190.5,235.0	168.0,167.5
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,235.0	168.0,168.0
191.0,234.0	168.0,167.5
190.5,234.0	168.0,167.5
191.0,234.0	168.0,167.5
191.0,234.0	168.0,167.5
191.0,234.5	168.0,167.5
191.0,233.0	168.0,168.0
191.0,234.0	167.5,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,235.0	168.0,168.0
190.0,234.5	168.0,167.5
190.0,234.5	168.0,167.5
190.0,230.0	188.0,231.0
191.0,234.0	167.5,167.5
191.0,234.0	167.5,167.5
191.0,234.0	167.5,168.0
191.0,233.0	168.0,168.0
191.0,234.0	167.5,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,234.0	168.0,167.5
190.0,234.5	168.0,167.5
158.0,104.0	190.0,233.0
190.0,234.5	168.0,167.5
190.0,234.5	168.0,167.5
158.0,104.0	190.0,233.0
191.0,234.0	167.5,167.5
191.0,234.0	167.5,168.0
191.0,234.0	167.5,167.5
191.0,234.0	167.5,167.5
191.0,233.0	168.0,168.0
191.0,235.0	168.5,168.0
191.0,235.0	168.5,168.0
191.0,235.0	168.5,168.0
190.0,229.0	188.5,232.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,233.0	168.0,168.0
191.0,235.0	168.5,168.0
658.5,25.0	658.5,25.0
658.5,25.0	658.5,25.0
658.5,25.0	658.5,25.0
593.0,110.5	593.0,110.5
745.5,93.0	745.5,93.0
745.0,93.0	745.0,93.0
745.5,93.0	745.5,93.0
796.0,211.0	640.0,170.0
767.0,299.0	693.0,307.0
746.0,338.0	717.0,366.0
746.0,338.0	717.0,366.0
746.0,338.0	717.0,366.0
694.0,304.5	651.0,360.0
683.0,316.0	654.0,369.0
683.0,316.0	654.0,369.0
683.0,316.0	654.0,369.0
677.0,323.5	658.0,368.5
668.5,375.0	702.5,363.5
646.5,330.5	667.0,371.5
646.5,330.5	667.0,371.5
646.5,330.5	667.0,371.5
651.0,329.0	676.0,378.5
190.0,233.0	169.5,170.0
190.0,233.0	169.5,170.0
189.0,232.0	170.0,169.5
190.0,233.0	169.5,169.5
190.0,233.0	170.0,169.5
587.0,56.0	587.0,56.0
587.0,56.0	587.0,56.0
587.0,56.0	587.0,56.0
581.0,50.5	581.0,50.5
580.5,50.0	580.5,50.0
581.0,50.0	581.0,50.0
580.5,50.0	580.5,50.0
563.0,99.5	563.0,99.5
574.0,98.0	574.0,98.0
693.0,380.0	693.0,380.0
693.0,380.0	693.0,380.0
693.0,380.5	693.0,380.5
790.0,367.0	712.5,401.5
694.0,351.5	700.0,474.0
696.0,349.5	697.0,476.0
693.0,352.0	701.0,473.0
796.0,360.0	708.0,384.0
531.0,367.0	721.0,425.0
533.0,367.0	721.0,425.0
452.5,116.0	452.5,116.0
452.5,116.0	452.5,116.0
533.0,244.0	596.0,343.5
531.0,242.0	596.5,343.5
527.0,236.0	559.5,283.5
527.0,233.0	551.5,274.0
527.0,233.0	551.5,274.0
527.0,233.0	551.5,274.0
519.0,222.0	576.0,317.0
513.0,213.0	569.0,312.0
509.0,209.0	564.0,305.5
509.0,209.0	564.0,305.5
509.0,209.0	564.0,305.5
505.0,205.0	564.0,302.0
498.0,199.5	562.0,293.5
498.0,199.5	562.0,293.5
498.0,199.5	562.0,293.5
492.0,193.0	560.0,282.5
488.0,187.0	556.5,270.5
482.0,177.0	553.0,262.0
481.0,177.0	553.0,261.0
482.0,177.0	553.0,262.0
477.0,167.0	544.0,257.0
470.5,157.0	530.0,248.5
470.5,157.0	530.0,248.5
470.5,157.0	530.0,248.5
463.0,146.0	525.0,238.0
455.5,136.0	486.0,181.5
451.0,125.5	513.5,218.0
450.0,126.0	514.0,219.0
450.0,126.0	514.0,219.0
447.0,116.5	467.5,160.5
439.0,102.0	466.5,146.0
439.0,102.0	466.5,146.0
439.0,102.0	466.5,146.0
432.0,88.0	463.0,134.0
424.0,79.0	456.0,123.5
